id,sentence,acceptable,error_type,detailed_source
2266,"Белокурый несколько удивился, что ему удалось создать, довольно, впрочем, плохой, каламбур.",1,0,Paducheva2010
2267,Я выслушала ваши извинения.,1,0,Seliverstova
2268,Альфред не любит современную музыку.,1,0,Paducheva2013
2269,Да и как было ни встать во время прихода Мейерхольда?,0,Semantics,Paducheva2004
2270,Иван читал статью Петра о себе.,1,0,Testelets
2271,Если хочешь быть услышан в мире – пой по-английски.,1,0,Lutikova
2272,Приближался нечеловеческие рев и топот.,0,Syntax,Rusgram
2273,"Считается, что атланты, уцелевшие по окончанию катаклизма, разбрелись по всему свету и передали свои знания и египтянам, и майя, и ацтекам.",0,Syntax,USE8
2274,Встретимся около рыбного магазина рядом с метро «Университет».,1,0,Seliverstova
2275,Мне не нужно твоих книг.,1,0,Paducheva2013
2276,Они запасли себе провиант.,1,0,Testelets
2277,"Если ты мне во всем признаешься, так я тебя не высеку и дам еще пятак на орехи.",1,0,Seliverstova
2278,Ему это нравится самому.,1,0,Testelets
2279,"Ральф считает, что вон тот человек шпион.",1,0,Paducheva2010
2280,"Существуют реки, которые летом пересыхают.",1,0,Paducheva2004
2281,"Он думает, я его испугался.",1,0,Paducheva2010
2282,Вчера я получил новое доказательство его невинности.,1,0,Seliverstova
2283,Каждый день к нему кто-нибудь приходит.,1,0,Seliverstova
2284,"В Москве люди, которые этого не понимают.",0,Syntax,Rusgram
2285,Не разбивал я чашки.,1,0,Paducheva2013
2286,Плохие новости лучше продаются.,1,0,Paducheva2004
2287,Мы выбрали Ивана председателем.,1,0,Testelets
2288,"Мягкие дробные звоночки сыпались в это время по всей квартире, а в отдалении из передней то и дело слышались голоса, звенел телефон.",1,0,Seliverstova
2289,Мы пойдем до чего?,0,Syntax,Testelets
2290,"Он считает, погода изменится.",1,0,Paducheva2010
2291,"Ты не знаешь, зачем он приходил?",1,0,Paducheva2004
2292,Ребёнок XXI века слабо развит физически и подверженный большому количеству заболеваний.,0,Syntax,USE8
2293,Мы живем у самой Волги.,1,0,Seliverstova
2294,До него эти звуки не доносятся.,1,0,Paducheva2004
2295,Командир ввел обычай сам принимать все доклады.,1,0,Testelets
2296,Телевизор не в мастерской.,1,0,Paducheva2004
2297,В это время из зала в гостиную вошла незнакомая Ларе девушка.,1,0,Paducheva2004
2298,"Вечером я дописывал ""Романтиков"".",1,0,Paducheva2010
2299,Вагоны шли привычной линией.,1,0,Paducheva2004
2300,Каким мальчиком он оказался?,1,0,Testelets
2301,Подписи на документе поставили менеджер и покупатель.,1,0,USE5
2302,"Помилуй, мне и от роду нет ни году.",0,Semantics,Paducheva2013
2303,Он вскоре понял свою ошибку.,1,0,Paducheva2013
2304,И в те времена такие вещи ценились.,1,0,Paducheva2010
2305,"Для пенсионеров, кто живут на острове в рыбацком посёлке, главное, чтобы лодка была в порядке.",0,Syntax,USE8
2306,В моем кошельке масса денег.,1,0,Paducheva2013
2307,Памятные дни устанавливаются в честь значительных событий в мировой истории или истории России.,1,0,USE5
2308,Афанасьевна и Софья стояли невдалеке и слушали.,0,Semantics,Seliverstova
2309,"В усадьбе сохранились уникальные липовые аллеи, вековые дубы и высаженные в прошлом веке сибирские кедры.",1,0,USE5
2310,На ее лице выразилось презрение.,1,0,Paducheva2013
2311,"Нить, и шар всплыл, оборвалась.",0,Syntax,Rusgram
2312,Лично для меня хрущевская оттепель началась с рисунков Збарского.,1,0,Paducheva2004
2313,"В тот момент я представляла себе такую возможность, сейчас уже нет.",1,0,Paducheva2010
2314,"Приняв командование над армиями, Кутузов вспомнил о князе Андрее и послал ему приказание явиться в главную квартиру.",1,0,Seliverstova
2315,"Причем в случае, если возникнут какие бы то ни было экономические проблемы, виноват будет Кудрин.",1,0,Paducheva2013
2316,"Он врет, что кого-нибудь убедил.",1,0,Rusgram
2317,"Помилуй, мне и от роду нет году.",1,0,Paducheva2013
2318,Я угрожаю тебе казнью.,1,0,Paducheva2010
2319,Множество людей пришли за кулисы.,1,0,Testelets
2320,"Руководитель обещал нам, что всем понездоровиться, если мы и дальше продолжим опаздывать и не выполнять свои рабочие обязанности.",0,Syntax,Testelets
2321,"Употребляя ненормативную лексику, со средств массовой информации теперь взимается штраф.",0,Syntax,USE8
2322,Зачем ты моешь пол?,1,0,Paducheva2010
2323,"Что вы скажете об этом человеке, который предлагал нашей фирме очень выгодную операцию с ценными бумагами?",1,0,Testelets
2324,"Разбрелись по каруселям, балаганам, качелям, слушают песни цыган, пляски, сами пляшут, купаются в реке.",1,0,USE7
2325,Вчера этот прибор имел использование.,0,Semantics,Seliverstova
2326,"Она сидела рядом с мужем, слегка прижимаясь к нему.",1,0,Seliverstova
2327,Вы один показался мне веселым.,0,Syntax,Testelets
2328,Вас здесь не стояло.,1,0,Paducheva2004
2329,У нашей фирмы имеется представитель в Красноярске.,1,0,Paducheva2004
2330,Многие млекопитающие (а звери ― это как раз и есть млекопитающие животные) кусают очень похоже на нас с вами.,1,0,USE7
2331,Глаза у нее были широко открыты.,1,0,Seliverstova
2332,Я вспоминаю о ней с сожалением.,1,0,Paducheva2010
2333,Ради неё сядь в машину и поедь вперёд.,0,Morphology,USE7
2334,Для исполнения приговора не требуется каких бы то ни было дополнительных процедур и формальностей.,1,0,Paducheva2013
2335,"В нём совмещались те чисто русские, мужицкие черты, которые в соединении дают возвышенный образ, делавший иногда не только нашего солдата непобедимым, но и великомучеником.",0,Syntax,USE8
2336,"Неприятный мне разговор затянулся, вопреки моего ожидания.",0,Syntax,USE8
2337,"У меня, кажется, грудь уже начинает болеть.",1,0,Paducheva2004
2338,Он предложил нам оказать помощь с ремонтом.,1,0,Testelets
2339,Весь год я ходила туда.,1,0,Seliverstova
2340,Иван питает надежду встретиться с тобой сам.,1,0,Testelets
2341,"И мы просто встали рядом, прикрываясь руками от света, и, напряженно улыбаясь, стали смотреть на катер.",1,0,Seliverstova
2342,Клюква не растет на дереве.,1,0,Paducheva2013
2343,Калязинской ПМК-500 требуются шофера для работы на автомашинах ГАЗ-52 и ЗИЛ-585 со сдельной оплатой.,0,Morphology,USE7
2344,"Их морское путешествие, наверное, не закончилось бы никогда, если бы вдруг не пропало солнце.",1,0,Paducheva2013
2345,Я рассердился на него за грубость.,1,0,Paducheva2004
2346,"Есть люди, которые не любят правду.",1,0,Seliverstova
2347,"Знаете, лучше с ним не связываться.",1,0,Paducheva2010
2348,"Я чувствую, что он прав.",1,0,Seliverstova
2349,Кто-то должен взять на себя эту тяжелую обязанность.,1,0,Seliverstova
2350,Звуки с улицы не доносятся.,1,0,Paducheva2013
2351,"Хочу, чтобы, если вы захотели, то вам все показали.",0,Syntax,Testelets
2352,Кто из мальчишек не мечтали прослыть силачом?,0,Syntax,USE8
2353,"Маша читает, и Саша читает книгу.",1,0,Testelets
2354,Этот сильно был очень тяжелым.,0,Syntax,Testelets
2355,"Жил историк одиноко, не имел нигде родных и почти не имел знакомых.",1,0,Seliverstova
2356,Совершить такую подлость он не способен.,1,0,Testelets
2357,Художник нарисовал и любуется прекрасной картиной.,0,Syntax,USE8
2358,"Рука гравёра с инструментом, как правило, двигается мало: лежащая на специальной подушке, перемещается пластина.",0,Syntax,USE8
2359,В Москву приехал с семьей Солженицын.,1,0,Paducheva2010
2360,Иностранных туристов у нас в гостинице еще не останавливалось.,1,0,Paducheva2004
2361,Костюм не был в химчистке весь год.,0,Semantics,Paducheva2013
2362,Я здесь уже три часа.,1,0,Seliverstova
2363,Напротив моего дома стоит колокольня.,1,0,Seliverstova
2364,"Известный режиссёр заверил в интервью, что ничего автобиографического в его новой картине нет.",1,0,USE5
2365,Платье у бедер слегка расширяется.,1,0,Seliverstova
2366,Эмпирическая психология должна быть вне всякой философии.,1,0,Paducheva2013
2367,"Вы знаете, где мы находимся?",1,0,Rusgram
2368,Дерево над корнями было срублено.,0,Semantics,Seliverstova
2369,Они не построили газопровода.,1,0,Paducheva2013
2370,Доклад написан с шести до семи.,0,Semantics,Seliverstova
2371,Он был схвачен за шиворот.,1,0,Testelets
2372,Он вылил воду из лейки на клумбу.,1,0,Testelets
2373,Он был арестован по ложному обвинению.,1,0,USE5
2374,"У Маши дети взрослые, а у Даши они в детский сад ходят.",0,Semantics,Seliverstova
2375,Она неправильно принимает искусство.,0,Semantics,Seliverstova
2376,Геккерн на все способен: это человек без чести и совести.,1,0,Seliverstova
2377,"Выйдя из переговорной, Радмиле многое показалось странным.",0,Syntax,USE8
2378,Я строил такие мосты.,1,0,Paducheva2010
2379,Я встречаюсь с приятелями.,1,0,Paducheva2013
2380,Трава здесь не растет.,1,0,Paducheva2013
2381,"На спектакль в каком театре пришел Иван, несмотря на головную боль?",1,0,Testelets
2382,Левая рука его сжимала хрустящую бумажку.,1,0,Paducheva2004
2383,Каждый день к ней приходит сестра или мать.,1,0,Seliverstova
2384,Кто разбивал эту ломал этот стул?,0,Semantics,Paducheva2010
2385,"В начале марта, несмотря на весну, намело столько снегу, что на расчистку дорог была направлена рота солдатов.",0,Morphology,USE7
2386,Она много раз обманывала кого-нибудь из своих друзей.,1,0,Seliverstova
2387,Он оказался очень сообразительным кем?,0,Syntax,Testelets
2388,Он живет в двухэтажном доме на тихой лондонской улице возле Риджент-парка.,1,0,Seliverstova
2389,Лодку поцарапало своим якорем.,0,Syntax,Mitrenina
2390,"То ли он не затормозил вообще, то ли затормозил, но не резко.",1,0,Paducheva2013
2391,Перед домом есть скамья.,1,0,Seliverstova
2392,"Что ты не знаешь, как починить!",1,0,Testelets
2393,"Удар получился таким сильным, что она больно отбила себе руку, а банка треснула, и из нее в глаза черноволосому брызнул острый кетчуп.",1,0,Paducheva2004
2394,"Спроси свою знать, которой случалось тебя продавать.",1,0,Paducheva2010
2395,"Иван показал мне, что коробка пуста.",1,0,Paducheva2004
2396,"Брюсов увлекается декадентством, убежденным, что будущее принадлежит искусству, выражающему переживания яркой и независимой личности.",0,Syntax,USE8
2397,"До появления Интернета никакая технология иопыт в человеческой истории не распространялась ещё так широко, быстро и глубоко, как сейчас.",0,Syntax,USE8
2398,"Он сказал мне, зачем только он туда ходил.",0,Semantics,Paducheva2010
2399,"Боб, как честный человек, отказался.",1,0,Paducheva2013
2400,Пришел бы он вовремя!,1,0,Testelets
2401,"Он смотрел на меня, словно бы ему что-то было непонятно.",1,0,Rusgram
2402,Возьми какую-нибудь из этих тетрадей.,0,Semantics,Seliverstova
2403,Ко мне приехали родственники.,1,0,Paducheva2004
2404,Он имеет порок сердца.,0,Semantics,Seliverstova
2405,"Он сидел близко от меня, и я видел, что он все время что-то писал.",1,0,Seliverstova
2406,"Хотя опытные инженеры из-за границы были обещаны и были уже в дороге, но в нужный момент их не было.",1,0,USE7
2407,"Я один раз ее увидел, хочу еще раз увидеть.",1,0,Paducheva2004
2408,Иван выращивает новый сорт пшеницы.,1,0,Paducheva2013
2409,"Гуманность по отношению к животным нужно проявлять не на словах, а делом.",1,0,USE5
2410,Это комнатное растение отличается эффектной окраской листьев.,1,0,USE5
2411,Я получила от вас только 30 рублей.,1,0,Seliverstova
2412,На юге люди рано стареют.,1,0,Paducheva2010
2413,У нее были темные жесткие волосы и маленькие колючие глаза.,1,0,Seliverstova
2414,"У.Журналисты были приглашены министром, чтобы сделать заявление об отставке.",1,0,Testelets
2415,Я не вызывал такси.,1,0,Paducheva2010
2416,"Я предложил ей помощь, но гордая девушка отказалась.",1,0,Seliverstova
2417,"Сначала таблетки глотай, потом молока дам.",1,0,Paducheva2010
2418,"Когда они зашли в него, то поразились еще больше.",1,0,Testelets
2419,Он не справился с заданием.,1,0,Paducheva2004
2420,Художники повстречались возле кафе и отправились на планер.,1,0,Testelets
2421,Дядя Федя снова исчез и возник у сарая.,1,0,Paducheva2004
2422,"Я поступил, и Иван очень обрадовался, в институт.",0,Syntax,Testelets
2423,"Еще один такой выкрик, и его выгонят.",1,0,Paducheva2010
2424,"Вина Джулии состоит в том, что она оставила ребенка без присмотра.",1,0,Paducheva2004
2425,Нельзя ни с кем не общаться.,1,0,Seliverstova
2426,Мощности кондиционеров в кабинах некоторых самолётов не хватает для комфортного состояния пилота.,1,0,USE5
2427,"Когда мы ходим на работу, покупаем квартиру, пытаемся поспекулировать акциями или валютами, то все наши действия направлены на получение доходов.",0,Semantics,Paducheva2010
2428,В этом доме жил Достоевский.,1,0,Paducheva2010
2429,"Пока мы ехали, на тройке уздечки звенели звоном.",0,Semantics,Paducheva2004
2430,Ты купишь себе велосипед.,1,0,Paducheva2010
2431,"Я надеюсь, что он не уедет.",1,0,Paducheva2013
2432,На этой неделе в Москве проходит книжная ярмарка.,1,0,Paducheva2010
2433,"Три митрополита были посажены, отправлены в ссылку и там один за другим скончались, но перед смертью каждый из них назначил преемника из епископов.",1,0,Paducheva2004
2434,"Если матч транслируется, то Иван сейчас сидит перед телевизором.",1,0,Paducheva2004
2435,"Гости посетили актовый зал нового здания лицея, который масштабами и убранством не уступает небольшому драматическому театру.",1,0,USE5
2436,"Музыка, рассказчик выключает вентилятор, заканчивается.",0,Syntax,Rusgram
2437,У нее седые волосы.,1,0,Seliverstova
2438,Ожидается приход Пети.,1,0,Rusgram
2439,Информационная служба городской телефонной сети опубликовала итоги перехода абонентов на новые тарифные планы.,1,0,USE5
2440,"Придется, откроешь свое дело, всем взятки давать.",0,Syntax,Testelets
2441,"Событие более важно, чем его причина.",1,0,Paducheva2004
2442,У нас сейчас есть урок.,0,Semantics,Seliverstova
2443,Это начинает мне надоедать.,1,0,Paducheva2004
2444,Мы всех их собрали в одну высокую корзинку и оставили ночевать в теплой кухне возле плиты.,1,0,Seliverstova
2445,Этот последний был очень тяжелым.,1,0,Testelets
2446,Иванова на лекции на занятиях нет.,1,0,Paducheva2004
2447,"В конце концов, заметив, что я не имею против него никаких злостных намерений, Симыч и мне стал доверять.",1,0,Paducheva2004
2448,"Он видел, что она сейчас не расположена к разговору.",1,0,Paducheva2010
2449,Лисица обыкновенная имеет густой и мягкий мех рыжевато-красного цвета.,1,0,Seliverstova
2450,В теплые летние ночи они поднимались на один из холмов около Курска.,0,Semantics,Seliverstova
2451,"Я считаю, когда ты принял решение сесть за руль пьяный, ты уже преступник.",1,0,Lutikova
2452,Посреди глазного дна человеком имеется «жёлтое пятно».,0,Syntax,Rusgram
2453,"Давно уже не озарялось оно такою добротою, такою старчески-детскою радостью.",1,0,Paducheva2004
2454,У меня украли кошелек.,1,0,Testelets
2455,Завтра я прихожу к вам.,1,0,Paducheva2004
2456,Он назначил отъезд на 20 августа.,1,0,Paducheva2004
2457,"Мультик рассказывает, что надо быть готовому ко всему, выбрать свой путь жизни.",1,0,Lutikova
2458,Маму не огорчила Ванина двойка.,1,0,Paducheva2013
2459,Я хочу выпить какого-нибудь молока.,0,Semantics,Seliverstova
2460,Книга была с особой целью куплена студентом у букиниста.,1,0,Testelets
2461,"Туристические маршруты, разрабатывающиеся опытными инструкторами, нравятся как россиянам, так и зарубежным путешественникам.",0,Syntax,USE8
2462,Им судьбой назначено любить друг друга.,1,0,Paducheva2004
2463,К тебе только что приходила какая-то блондинка.,1,0,Paducheva2010
2464,"Боб, который ездил в Баку, пропустил последний семинар.",1,0,Paducheva2013
2465,Слишком уж он серьезен.,1,0,Testelets
2466,"Говорят, если хочешь рассмешить Господа Бога, будь рассказывать о своих планах.",0,Syntax,Testelets
2467,Дома с дороги не видно.,1,0,Paducheva2004
2468,Иногда он отвечает не сразу.,1,0,Paducheva2013
2469,Для верности еще раз повернул ключ в замке.,1,0,Testelets
2470,"В шкафу стоят книги, на полках лежат не только газеты, но также и стеклянная посуда.",0,Syntax,USE8
2471,"Кто написал ""Войну и мир""?",1,0,Paducheva2010
2472,"А прочитая рассказ у Вас в 9-м номере, я хочу сходить к нему на могилу, положить цветы.",0,Morphology,USE7
2473,Не он ли зачинщик?,1,0,Paducheva2013
2474,"Квартирохозяин мой, почтальон, учится играть на скрипке, потому что любит свою мамашу и не хочет огорчать ее женитьбой.",1,0,Paducheva2013
2475,Вина за катастрофу А-310 возложена на погибших летчиков.,1,0,Testelets
2476,"Не знаешь, пенсию не дадут?",1,0,Paducheva2013
2477,"А сапоги я вам блестящие принесу, ещё красивше ваших!",0,Morphology,USE7
2478,Это возвышает ее в моих глазах.,1,0,Paducheva2004
2479,Хлеб дает нам припек.,0,Semantics,Seliverstova
2480,Согласно приказа № 167 от 3 мая 2014 г. руководители отделов обязаны сдавать письменный отчёт не позднее десятого числа каждого месяца.,0,Syntax,USE8
2481,Он покупает три журнала.,1,0,Paducheva2010
2482,Его тело найти недалеко от деревни Сосенки.,1,0,Seliverstova
2483,"Собака шла через зал, стуча когтями по паркету.",1,0,Paducheva2004
2484,Стаканы были поставлены в шкаф.,1,0,Testelets
2485,"Когда она смеялась, она их приподнимала.",1,0,Paducheva2004
2486,"Стекло разбил Коля ли, Петя ли.",0,Syntax,Rusgram
2487,"Выслеживая добычу, в душе охотника просыпаются чувства предков, рисковавших жизнью ради пропитания.",0,Syntax,USE8
2488,"День был дождливый, но Коля не взял зонт.",1,0,Paducheva2013
2489,"Вероятно, там кто-то был?",1,0,Seliverstova
2490,"Я начал читать и зачитался так, что, к огорчению взрослых, почти не обращаю внимания на нарядную ёлку.",0,Syntax,USE8
2491,Он резко не затормозил.,0,Semantics,Paducheva2013
2492,Да кто его презирает!,1,0,Paducheva2013
2493,"Она приняла его взгляды, вкусы, привычки.",1,0,Seliverstova
2494,Все элементы должны составлять единое гармоничное целое и соответствовать вашему идейному замыслу.,1,0,USE5
2495,"Его самый верный товарищ обманул Иванова, предал, что донес.",0,Syntax,Testelets
2496,"Удивительно, что он все помнит.",1,0,Paducheva2004
2497,Вблизи от горы стояла сакля.,0,Semantics,Seliverstova
2498,Ваше отсутствие не тормозило работу.,1,0,Paducheva2013
2499,После обеда спать вредно.,1,0,Testelets
2500,Ты находил свои ключи?,0,Semantics,Paducheva2010
2501,Возьмите из моего стола тезисы докладов.,1,0,Seliverstova
2502,"Высушенные пропыленные листы неприятно осязались, противный налет оставался на подушечках пальцев.",1,0,Paducheva2004
2503,Я ищу какую-то интересную пьесу по современной тематике.,0,Semantics,Seliverstova
2504,Приём травяных настоев способен повысить сопротивляемость организма инфекциям.,1,0,USE5
2505,"Я имею книгу, чтобы читать.",0,Semantics,Seliverstova
2506,Мне не нужно отдыхать.,1,0,Paducheva2013
2507,"Ребята быстро ушли, чтобы сами не принимать участия в беседе на такую спорную тему.",0,Syntax,Testelets
2508,"Первобытному человеку, жившему среди постоянных опасностей, нельзя было спать крепким сном.",1,0,Testelets
2509,Она назначила мне свидание в метро.,1,0,Paducheva2004
2510,"Они касались подвала здания, который было решено превратить в эксплуатируемое помещение.",1,0,Lutikova
2511,Оригинала этого списка не сохранилось.,1,0,Paducheva2013
2512,Я живу недалеко от метро «Калужская».,1,0,Seliverstova
2513,"Проследи, чтобы он второпях не оставил ключи.",1,0,Paducheva2013
2514,"Нежнейший, розовый по ним раструб крохотного цветочка, такого прозрачно-легкого, почти невесомого, источал тяжелый плотский запах нагретой солнцем земли.",0,Syntax,Testelets
2515,"И тотчас загоготал надо мною Кир, глядел на меня странно как-то, будто издалека, и хохотал.",1,0,Seliverstova
2516,Она живет в маленьком городе у Москвы.,0,Semantics,Seliverstova
2517,"Он сидел в кресле, рядом с ним стояла недопитая бутылка вина.",1,0,Seliverstova
2518,Он считает себя счастливым.,1,0,Mitrenina
2519,"Мне стало холодно, и побежал в дом.",0,Syntax,Testelets
2520,"А тыква превращалась в спектакле ""Золушка"" в карету.",1,0,Paducheva2010
2521,"Известный американский антрополог считает то, что увеличение возраста зрелости может стать важным ресурсом для развития общества.",0,Syntax,USE8
2522,Николай взял в жены Ольгу в двадцать три года.,1,0,Testelets
2523,"Его успехам способствовало многое: раскованная манера поведения, прекрасная внешность, несколько спортивных разрядов в прошлом, уверенность в свои силы.",0,Syntax,USE8
2524,Петя стучал ей в окно.,1,0,Paducheva2004
2525,Я нашел свои ключи.,1,0,Paducheva2004
2526,"Петя сказал «уходи», но это неправда.",0,Semantics,Rusgram
2527,Длинные перечисления утомили меня.,1,0,Paducheva2004
2528,"Этот мир был ему сейчас ненавистнее, чем когда-либо.",1,0,Paducheva2010
2529,"Он бывал везде: и на Рейне, и на Ганге.",1,0,Paducheva2013
2530,Я поставил фонарь рядом с ведром.,1,0,Seliverstova
2531,В результате всех пережитых страданий его лицо приобрело какое-то жесткое выражение.,1,0,Seliverstova
2532,В 6.30 доклад был закончен.,1,0,Seliverstova
2533,Донецкий журналист оценил реакцию граждан ЛДНР на возможное прибытие Зеленского.,1,0,Testelets
2534,"Не проходя по коридору этого этажа, мы поднялись более выше, где было несколько свежее, но тот же отвратительный, удушливый запах был и здесь.",0,Morphology,USE7
2535,Голословно заявилось о преследованиях мирного населения.,0,Semantics,Rusgram
2536,"Предки современных птиц довольно быстро стали искусными летунами, одновременно освоившие прибрежные и болотистые пространства.",0,Syntax,USE8
2537,Дальнейшее подтвердило мои предположения.,1,0,Paducheva2004
2538,На первом этаже громко работал телевизор: продолжается неудачное ограбление банка.,0,Semantics,Paducheva2004
2539,"После разговора с Натали Андрея охватило одновременно чувство любви и ненависти, и это двойственное чувство не покидало его до вечера.",1,0,USE5
2540,"Всю ночь металось море, всю ночь гремела прибрежная галька, и в рокоте этом слышалось что-то неуловимое, вечное.",1,0,Seliverstova
2541,В прошлом году я лежал в больнице МПС с воспалением легких.,1,0,Paducheva2010
2542,"Помню радость ее, окончания войны: солнечный майский день, небо голубое, народ вывалил на улицу, все обнимаются, радуются.",0,Syntax,Testelets
2543,Ты брал со стола ключи?,1,0,Paducheva2010
2544,"Напрасно вы думаете, что вы здоровы, у вас катар верхних дыхательных путей.",1,0,Seliverstova
2545,Это платье больше по ширине в длину.,1,0,Testelets
2546,Руки у него дрожали.,1,0,Seliverstova
2547,"Перед тем как изложить на бумаге свои воспоминания о ком бы то ни было, Репин рассказывал о них нескольким людям.",1,0,Paducheva2013
2548,"Поскольку очень нужно ему в очереди стоять, у тебя ничего не выйдет.",0,Semantics,Paducheva2010
2549,"Дело состоит в том, что «Нежный вестник» расходится в восьмьюстах копиях еженедельно, по тридцати копеек.",0,Morphology,USE7
2550,"Он рискнул остаться на мосту, чтобы наблюдать за ходом событий.",1,0,Paducheva2004
2551,"По мнению редакторов, различия между заблуждением и ложью, очевидно, не существует.",0,Semantics,Paducheva2010
2552,"Говорят, она не находит себе места, бедняжка.",1,0,Paducheva2010
2553,Два часа просил у него покататься на велосипеде.,1,0,Paducheva2010
2554,С горы сбегает ручей.,1,0,Paducheva2004
2555,"Войдя в номер гостиницы «Астория», в которой мне доводилось бывать уже не раз, на меня нахлынули воспоминания.",0,Syntax,USE8
2556,Откроешь свое дело — придется всем взятки давать.,1,0,Testelets
2557,"Мне не хватило двух минут, чтобы высказать все, что я о нем думаю.",1,0,Paducheva2013
2558,Ты когда-нибудь ехал в город на телеге?,1,0,Paducheva2010
2559,Никто даже не обратил внимания на заваленную тумбочку вещами.,0,Syntax,USE8
2560,"Я точно помню, что мы тогда купались.",1,0,Paducheva2010
2561,"Яконов по несколько раз на дню бывал в Семёрке, поэтому приход его не воспринимался тут как приход большого начальства.",1,0,Testelets
2562,Весь день он с радостью был в горах.,0,Semantics,Seliverstova
2563,"Её сынишка, годовалый малыш, беспрестанно что-то лепетал на совершенно непонятном языке.",1,0,USE5
2564,"Он, возможно, знает об этом или нет?",0,Semantics,Paducheva2010
2565,"Если позовет, не приду.",1,0,Paducheva2013
2566,Вблизи у самых кустов послышалась песнь соловья.,1,0,Seliverstova
2567,"Сторож стуком колотушки доказывал, что он не спит.",1,0,Paducheva2004
2568,"Там уверены, что Лужков как политик не должен дожить до президентских выборов 2000 года.",1,0,Paducheva2013
2569,Пришел бы Миша поскорее.,1,0,Rusgram
2570,Над чем вы работаете в настоящее время?,1,0,Paducheva2010
2571,Они растащили трубу по участку.,0,Syntax,Testelets
2572,"Мы обращаемся со своей проблемой к Ирине Ивановне, которая не может не волновать всех нас.",0,Syntax,USE8
2573,Я хочу увидеть Машу.,1,0,Rusgram
2574,"Он рад, что непохож на мужа барыниной Аннушки, с которым скандалы происходят раз в две недели: он ломится к жене, а та боится.",1,0,Testelets
2575,А кто покупал билеты?,1,0,Paducheva2010
2576,"Слезы, сознание до сих пор не выветрившейся полностью вины сделали свое дело, в конце концов я махнул рукой: быть по-твоему!",1,0,Paducheva2004
2577,"Зерно падает в землю, чтобы взойти в виде растения.",1,0,Testelets
2578,Вода постепенно наполняет бассейн.,1,0,Paducheva2004
2579,"Он не купил машину, потому что еще не выбрал между “мерседесом” и “ауди”.",1,0,Paducheva2004
2580,Почему я тогда сразу не ушел?,1,0,Paducheva2013
2581,"Ксюша вышла за зубного врача, смеясь, что зубы болеть не будут.",1,0,Paducheva2010
2582,"Мы говорим врагам: сдавайтесь, или мы вас уничтожим.",1,0,Testelets
2583,Мне дали эту работу на рецензию.,1,0,Seliverstova
2584,"Спуская отходы в реку, завод повышает содержание в воде соединений хлора.",1,0,Paducheva2004
2585,Ты не можешь строить здесь гараж.,1,0,Paducheva2013
2586,Рядом с тарелкой лежали серебряный нож и маленькая вилка.,1,0,Seliverstova
2587,В Европе растет беспокойство по поводу кризиса на Среднем Востоке.,1,0,Seliverstova
2588,Она решила взять сына домой.,1,0,Seliverstova
2589,Я требую тебе заплатить долг.,0,Syntax,Rusgram
2590,Не задавал ли он тебе каких-нибудь вопросов?,1,0,Rusgram
2591,Громадный домище заслонил от меня солнце.,0,Semantics,Paducheva2004
2592,"Кого он отомстил врагу, убив?",0,Syntax,Testelets
2593,Ты можешь взять любую из этих книг.,1,0,Seliverstova
2594,"Затмение прошло, и я опять ясно понимал суть происходящего.",1,0,Paducheva2004
2595,"Ему не повезло, что он встретил эту женщину.",1,0,Paducheva2013
2596,Принесет ли это мне какую-нибудь пользу?,1,0,Seliverstova
2597,Вкус к большой политике к нему пришел позднее.,1,0,USE7
2598,На всех не хватит.,1,0,Paducheva2013
2599,У нее есть старость.,0,Semantics,Seliverstova
2600,"У тебя как, вечер сегодня свободный?",1,0,Rusgram
2601,"Если я никого не записал, скажите.",1,0,Rusgram
2602,"Когда в квартире, конечно, побывали, никакого мага там не оказалось.",0,Semantics,Paducheva2010
2603,Ты купила две бутылки молока или одну?,1,0,Seliverstova
2604,А ты и на гитаре играешь?,1,0,Paducheva2013
2605,"Не знаю, какой вы краской голову и волосы красите, мне бы дали.",1,0,Seliverstova
2606,"Лучше быть невинному в неволе, чем виноватому на свободе: верь этому!",1,0,Lutikova
2607,А почему повязка на ноге?,1,0,Paducheva2013
2608,Ради этого можно рискнуть здоровьем.,1,0,Paducheva2004
2609,"Я был поражен удивительной красотой, карнавальная маска которой висела на стене приемной.",0,Syntax,Lutikova
2610,Нам было не разрешено принимать посетителей после 6 часов.,1,0,Seliverstova
2611,"Кемь является одним из самых старых городов России, расположенный на Белом море.",0,Syntax,USE8
2612,Поезд следует из нее.,0,Syntax,Testelets
2613,У царя Мидаса ослиные уши.,1,0,Paducheva2013
2614,Он всегда в плохом настроении.,1,0,Seliverstova
2615,Я когда-то читал «Бориса Годунова».,1,0,Paducheva2013
2616,"Еще раньше у лося побывали волки, — Тэдди узнал это по следам, оставленным ими, и поэтому никуда не ушел и уснул поблизости.",1,0,Seliverstova
2617,Мое тело белело в темноте.,0,Semantics,Paducheva2010
2618,В XIV веке Перемышль уже существовал.,1,0,Paducheva2013
2619,На праздник он принес цветы для красивой и обаятельной девушки.,1,0,Testelets
2620,"Я виноват, что сын такой невоспитанный.",1,0,Paducheva2004
2621,У него в доме имеется плантация марихуаны.,1,0,Paducheva2004
2622,"Иван знает, что статья о себе появилась в газете.",0,Syntax,Testelets
2623,Международная общественность хорошо понимает и заботится о решении социальных проблем в развивающихся странах.,0,Syntax,USE8
